"MlsNumber","LivingArea","YearBuilt","MunicipalTax","SchoolTax","CondoFees","HeatingEnergy","HeatingSystem","Proximity","SewageSystem","LotAssessment","BuildingAssessment","Pool","View","Garage","Parking","Zoning","WaterSupply","LotDepth","LotFrontage","Area","MunicipalAssessment","FloorCovering","Topography","Insurance"
"25173762",,"2011","881$ (2014)","370$ (2014)",,,,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,,,"Municipality",,,,"212,200$",,,
"25195428",,,"1338$ (2014)","258$ (2014)",,"Electric baseboard units",,"Near downton and Mc Gill University, Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport, University","Municipal sewer",,,,"City",,,"Residential","Municipality",,,,"147,600$",,,
"25197103",,"1957","3503$ (2013)","737$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,,,"Residential","Municipality",,,,"417,000$",,,
"25201146",,,"2411$ (2014)","445$ (2013)",,"Electric baseboard units",,"Cegep, Elementary school, High school, Hospital, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"1,675,000$",,,
"25208375",,"1961","3860$ (2013)","798$ (2013)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"495,300$",,,
"25218902",,,"$","$",,"Electric baseboard units",,"Highway, Cegep, Elementary school, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,,,,
"25220026",,"1985","1037$ (2014)","199$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"347,000$",,,
"25234125",,"2007","2811$ (2014)","416$ (2014)",,"Electric baseboard units",,"Highway, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,"Panoramic",,,"Residential","Municipality",,,,"400,600$",,,
"25235665",,"2004","2443$ (2014)","372$ (2015)",,"Electric baseboard units",,"Highway, High school, Golf, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,"Fitted","Garage, (1 place)","Residential","Municipality",,,,"206,100$",,,
"25240016",,,"3936$ (2014)","1$ (2014)",,,,"Highway, Bicycle path, Public transport","Municipal sewer",,,,,,"Outdoor, (2 places)","Residential","Municipality",,,,"496,200$",,,
"25242194",,"2003","1997$ (2013)","421$ (2013)",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"257,000$",,,
"25243241",,"1984","2357$ (2014)","490$ (2013)",,"Space heating baseboards, Electric baseboard units",,"Highway, Cegep, Elementary school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Single width","Garage, (1 place)","Residential","Municipality",,,,"292,300$",,,
"25261270",,"1984","1676$ (2014)","340$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Attached, Heated, Fitted","Garage, (1 place)","Residential","Municipality",,,,"206,700$",,,
"25274023",,"2013","502$ (2014)","718$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, Golf, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,"Panoramic, City, Water","Tandem","Garage, (2 places)","Residential","Municipality",,,,"474,000$",,,
"25306922",,"1966","3475$ (2014)","719$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, High school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Heated, Fitted","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,"406,600$",,,
"25320590",,,"$","$",,"Air circulation",,"Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,"Panoramic, Water","Heated, Fitted, Single width","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,,,,
"25323161",,"2006","1599$ (2014)","351$ (2014)",,"Electric baseboard units",,"Cegep, Hospital, Park - green area, Public transport, University","Municipal sewer",,,,"Garden",,,"Residential","Municipality",,,,"195,400$",,,
"25327270",,"1955","3188$ (2014)","678$ (2014)",,,,"Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,"Outdoor, (2 places)","Residential","Municipality",,,,"373,000$",,,
"25333001",,"2006","11882$ (2014)","2312$ (2013)",,"Air circulation, geothermo",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,"Heated, Double width or more","Garage, (2 places)","Residential","Municipality",,,,"1,593,600$",,,
"25352339",,"1979","5613$ (2013)","1168$ (2013)",,"Air circulation, Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Double width or more, Fitted","Garage, (2 places), Outdoor, (4 places)","Residential","Municipality",,,,"605,200$",,,
"25366210",,"1906","2332$ (2014)","249$ (2014)",,"Electric baseboard units",,"Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"268,100$",,,
"25377210",,"2006","1591$ (2014)","335$ (2013)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Park - green area, Public transport","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"186,400$",,,
"25379464",,"2009","3017$ (2014)","626$ (2014)",,"Electric baseboard units",,"Highway, Park - green area, Public transport","Municipal sewer",,,,,"Fitted","Garage, (1 place)","Residential","Municipality",,,,"349,200$",,,
"25389323",,"1910","2383$ (2014)","429$ (2013)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"297,300$",,,
"25402682",,"2011","3084$ (2014)","658$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Attached, Single width","Garage, (1 place)","Residential","Municipality",,,,"392,100$",,,
"25411053",,"1931","3389$ (2014)","727$ (2014)",,,,"Highway, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Attached","Garage, (2 places)","Residential","Municipality",,,,"1,338,600$",,,
"25417984",,"1960","2999$ (2014)","628$ (2014)",,"Hot water",,,"Municipal sewer",,,,,"Single width","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,"345,500$",,,
"25424113",,"1983","2968$ (2014)","625$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Fitted","Garage, (1 place)","Residential","Municipality",,,,"357,900$",,,
"25437124",,"1948","2390$ (2013)","466$ (2013)",,"Air circulation",,"Highway, Elementary school, High school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Attached, Heated, Fitted","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,"264,200$",,,
"25439516",,"1912","6066$ (2014)","1302$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,"Outdoor, (2 places)","Residential","Municipality",,,,"790,700$",,,
"25448081",,"1910","7454$ (2014)","1320$ (2013)",,"Hot water, Electric baseboard units",,,"Municipal sewer",,,,,,,"Commercial, Residential","Municipality",,,,"852,000$",,,
"25449220",,"1909","2732$ (2014)","490$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"278,100$",,,
"25467413",,,"790$ (2014)","91$ (2013)",,,,,"None",,,,,,,"Residential","None",,,,"57,400$",,,
"25467519",,"1962","3339$ (2014)","700$ (2013)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,"Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,"393,500$",,,
"25470211",,"1960","3439$ (2014)","730$ (2014)",,"Hot water, Electric baseboard units",,"Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,,,,"Municipality",,,,"424,200$",,,
"25471664",,"2005","3767$ (2014)","821$ (2014)",,"Electric baseboard units",,"Highway, steps from all services, Elementary school, Golf, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,"Heated, Double width or more","Garage, (2 places)","Residential","Municipality",,,,"467,100$",,,
"25477049",,"2012","1814$ (2014)","334$ (2014)",,,,"Highway, Elementary school, High school, Hospital, Park - green area, Public transport","Municipal sewer",,,,,"Heated, Fitted, Single width","Garage, (15 places)","Residential","Municipality",,,,"185,800$",,,
"25485565",,"2004","36277$ (2014)","1976$ (2014)",,,,,"Municipal sewer",,,,,,,"Commercial","Municipality",,,,"1,062,400$",,,
"25494465",,,"1732$ (2014)","378$ (2014)",,"Hot water",,"Highway, Cegep, Elementary school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"484,333$",,,
"25498131",,"1860","2399$ (2014)","460$ (2014)",,"Electric baseboard units",,"Elementary school, High school, Park - green area, Public transport","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"265,700$",,,
"25498798",,"1910","203$ (2014)","1$ (2013)",,,,"Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"126,200$",,,
"25513734",,,"2393$ (2014)","253$ (2013)",,,,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Multifamily, Residential","Municipality",,,,"185,300$",,,
"25519053",,"2010","2581$ (2013)","573$ (2013)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Alpine skiing, Cross-country skiing, Public transport, University","Municipal sewer",,,,,"Heated, Fitted","Garage, (2 places)","Residential","Municipality",,,,"328,200$",,,
"25521319",,"2014","$","$",,,,,"Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,,,,
"25534925",,"1907","3383$ (2014)","668$ (2014)",,,,,"Municipal sewer",,,,,,"Garage, (2 places), Outdoor, (3 places)",,"Municipality",,,,"407,600$",,,
"25535990",,"1956","3415$ (2014)","1542$ (2013)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Single width","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,"421,400$",,,
"25538588",,"1957","2099$ (2013)","425$ (2013)",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Public transport","Municipal sewer",,,,,"Heated, Fitted, Single width","Garage, (1 place)","Residential","Municipality",,,,"244,900$",,,
"25547354",,"2013","$","$",,"thermostat in each room, Electric baseboard units",,"Highway, HW 13 & 40, Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,"Heated, Fitted","Garage, (1 place)","Residential","Municipality",,,,,,,
"25547533",,"1993","2100$ (2014)","425$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,"Heated, Fitted","Garage, (1 place)","Residential","Municipality",,,,"232,900$",,,
"25552576",,"2012","$","$",,"Electric baseboard units",,,"Municipal sewer",,,,,,,"Residential","Municipality",,,,"368,500$",,,
"25553991",,,"1968$ (2014)","419$ (2014)",,"Electric baseboard units",,"Two steps from MCGILL and downtown, Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,"238,300$",,,
"25578936",,"1898","$","$",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,,,,
"25585506",,"2008","1294$ (2013)","273$ (2013)",,"Electric baseboard units",,"Highway, Elementary school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"160,700$",,,
"25589959",,"2010","1504$ (2013)","320$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"190,000$",,,
"25594337",,"1853","5128$ (2014)","1126$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,"Panoramic, Mountain, City",,,"Residential","Municipality",,,,"683,900$",,,
"25597064",,"2003","2553$ (2014)","509$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Single width","Garage, (1 place)","Residential","Municipality",,,,"294,300$",,,
"25604870",,"1948","4554$ (2013)","898$ (2013)",,"Hot water",,"Highway, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,"Attached, Single width","Garage, (1 place)","Residential","Municipality",,,,"510,200$",,,
"25620166",,,"$","$",,"Electric baseboard units",,"Highway, Elementary school, High school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Fitted, Single width","Garage, (1 place)","Residential","Municipality",,,,,,,
"25621413",,"2005","2224$ (2014)","448$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Heated","Garage, (1 place)",,"Municipality",,,,"276,300$",,,
"25631727",,"1951","6608$ (2012)","1425$ (2012)",,"Hot water",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,"Attached, Heated, Double width or more","Garage, (2 places), Outdoor, (2 places)","Residential","Municipality",,,,"842,900$",,,
"25640658",,"1973","3211$ (2014)","662$ (2014)",,"Space heating baseboards, Electric baseboard units",,"Highway, Church, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Heated, Double width or more, Fitted","Garage, (2 places), Outdoor, (4 places)","Residential","Municipality",,,,"386,700$",,,
"25653745",,"1900","3723$ (2014)","799$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,"469,100$",,,
"25655046",,"2011","2563$ (2014)","568$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,"Heated, Fitted","Garage, (1 place)","Residential","Municipality",,,,"359,600$",,,
"25662159",,"2012","2163$ (2014)","441$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,,,"Residential","Municipality",,,,"253,100$",,,
"25666799",,"1900","2200$ (2014)","540$ (2014)",,"Fire place",,"Highway, Elementary school, Bicycle path, Public transport","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"330,700$",,,
"25670116",,,"11240$ (2014)","574$ (2014)",,,,,"Municipal sewer",,,,,,,"Commercial","Municipality",,,,"335,600$",,,
"25689148",,"1981","5403$ (2014)","1171$ (2014)",,"Air circulation",,"Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport","Municipal sewer",,,,,"Heated, Fitted, Single width","Garage, (1 place), Outdoor, (1 place)","Residential","With water meter, Municipality",,,,"655,200$",,,
"25690953",,"2008","1835$ (2014)","357$ (2013)",,"Space heating baseboards",,"Highway, Metro Grocery Store, Bicycle path, Public transport, University","Municipal sewer",,,,"Panoramic, City",,,"Residential","Municipality",,,,"232,500$",,,
"25700307",,"1993","3222$ (2014)","610$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Public transport","Municipal sewer",,,,,"Heated, Fitted, Single width","Garage, (1 place), Outdoor, (3 places)","Residential","Municipality",,,,"359,600$",,,
"25704011",,"1997","1729$ (2014)","356$ (2013)",,"Electric baseboard units",,"Highway, Elementary school, High school, Park - green area, Bicycle path","Municipal sewer",,,,,,,"Residential","Municipality",,,,"225,000$",,,
"25708205",,"1870","1451$ (2014)","299$ (2014)",,"Space heating baseboards, Electric baseboard units",,"Highway, Lachine canal, Elementary school, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,"Mountain, City",,,"Residential","Municipality",,,,,,,
"25708765",,"2007","3068$ (2014)","674$ (2014)",,"Electric baseboard units",,"Highway, Hospital, Bicycle path, Public transport, University","Municipal sewer",,,,,"Heated, Single width","Garage, (1 place)","Residential","Municipality",,,,"375,200$",,,
"25713779",,,"4435$ (2014)","754$ (2013)",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"393,100$",,,
"25725211",,"1910","3105$ (2013)","631$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,,,"Residential","Municipality",,,,"401,300$",,,
"25742101",,"2013","$","$",,,,"Elementary school, High school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Fitted","Garage, (1 place)","Residential","Municipality",,,,,,,
"25763771",,"1993","2033$ (2014)","427$ (2014)",,,,"Highway, Cegep, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Heated, Fitted, Single width","Garage, (1 place)","Residential","Municipality",,,,"228,400$",,,
"25764099",,"2011","1974$ (2014)","415$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Public transport, University","Municipal sewer",,,,"Panoramic, Mountain, City","Heated","Garage, (1 place)","Residential","Municipality",,,,"238,800$",,,
"25764902",,"1910","10574$ (2014)","515$ (2014)",,"Air circulation, Electric baseboard units",,"Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Attached","Garage, (1 place), Outdoor, (5 places)","Commercial, Residential","Municipality",,,,"330,100$",,,
"25772095",,"1987","3365$ (2014)","760$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, Golf, Hospital, Park - green area, Cross-country skiing, Public transport","Municipal sewer",,,,,"Heated, Single width","Garage, (1 place), Outdoor, (2 places)","Residential","Municipality",,,,"454,800$",,,
"25779802",,"1975","3743$ (2014)","833$ (2014)",,"Electric baseboard units",,"Cegep, Elementary school, High school, Hospital, Park - green area, Public transport","Municipal sewer",,,,,,"Outdoor, (2 places)","Residential","Municipality",,,,"473,600$",,,
"25808280",,,"$","$",,"Electric baseboard units",,,"Municipal sewer",,,,,,,"Residential","Municipality",,,,,,,
"25826192",,"1966","3194$ (2014)","711$ (2014)",,,,"Highway, Elementary school, High school, Hospital","Municipal sewer",,,,,"Fitted, Single width","Garage, (2 places)","Residential","Municipality",,,,"412,900$",,,
"25828960",,,"6504$ (2014)","275$ (2014)",,,,"Highway, Public transport","Municipal sewer",,,,,,,"Commercial","Municipality",,,,"2$",,,
"25830906",,,"$","$",,"Electric baseboard units",,,"Municipal sewer",,,,,,"Garage, (1 place)","Residential","Municipality",,,,,,,
"25839917",,"1989","3140$ (2014)","629$ (2013)",,,,,"Municipal sewer",,,,,"Single width","Garage, (1 place), Outdoor, (2 places)","Residential","Municipality",,,,"381,300$",,,
"25847448",,"1957","883$ (2014)","182$ (2014)",,"Hot water",,"Cegep, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,"6,800,000$",,,
"25850419",,"2006","3507$ (2013)","671$ (2013)",,"Air circulation",,,"Municipal sewer",,,,,"Heated, Fitted","Garage, (1 place)","Residential","Municipality",,,,"337,600$",,,
"25857307",,"2003","11966$ (2014)","2316$ (2013)",,"Air circulation",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Attached, Heated, Double width or more","Garage, (4 places), Outdoor, (4 places)","Residential","Municipality",,,,"1,420,700$",,,
"25867298",,"2005","3178$ (2014)","698$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,"Panoramic, Water","Heated, Fitted, Single width","Garage, (1 place)","Residential","Municipality",,,,"392,800$",,,
"25877906",,,"$","$",,"Air circulation",,"Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,"Panoramic, Water","Heated, Fitted, Single width","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,,,,
"25891111",,"1950","2902$ (2014)","614$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Detached","Garage, (2 places), Outdoor, (6 places)","Residential","Municipality",,,,"349,700$",,,
"25898752",,"1955","5411$ (2014)","1103$ (2013)",,"Hot water, Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport, University","Municipal sewer",,,,,"Detached","Garage, (1 place), Outdoor, (6 places)","Residential","Municipality",,,,"674,300$",,,
"25900481",,"2012","1059$ (2014)","301$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Hospital, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,"246,900$",,,
"25903484",,"1870","2865$ (2014)","638$ (2014)",,"Space heating baseboards",,"Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"2$",,,
"25940075",,"2000","2159$ (2014)","448$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"254,600$",,,
"25952908",,,"$","$",,"Air circulation",,"Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,"Panoramic, Water","Heated, Fitted, Single width","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,,,,
"25959825",,"1977","1794$ (2014)","374$ (2013)",,"Electric baseboard units",,,"Municipal sewer",,,,,"Heated, Fitted, Single width","Garage, (1 place)","Residential","Municipality",,,,"212,900$",,,
"25975469",,"1915","5131$ (2014)","593$ (2014)",,"Electric baseboard units",,"Cegep, Elementary school, High school, Hospital, Public transport","Municipal sewer",,,,,,"Outdoor, (2 places)","Commercial, Residential","Municipality",,,,"362,500$",,,
"25983167",,"2008","2083$ (2014)","454$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,"255,100$",,,
"25989748",,"2008","4367$ (2014)","830$ (2014)",,"Air circulation",,"Highway, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,"Garage, (2 places)",,"Municipality",,,,"462,400$",,,
"25993976",,"2012","3129$ (2014)","654$ (2014)",,"Electric baseboard units",,"Highway, international airport, Cegep, High school, Hospital, Park - green area, Bicycle path, Public transport, University","Municipal sewer",,,,"Panoramic","Heated, Double width or more, Fitted","Garage, (2 places)","Residential","Municipality",,,,"393,600$",,,
"25999100",,"1988","3782$ (2014)","798$ (2015)",,"Electric baseboard units",,"Cegep, Elementary school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport, University","Municipal sewer",,,,"Mountain","Heated, Fitted","Garage, (1 place)","Residential","Municipality",,,,"490,500$",,,
"26007423",,"1990","2067$ (2013)","434$ (2013)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path","Municipal sewer",,,,,,,"Residential","Municipality",,,,"282,000$",,,
"26015781",,"1993","2856$ (2014)","549$ (2014)",,"Air circulation, Space heating baseboards, Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Heated, Fitted","Garage, (1 place)","Residential","With water meter, Municipality",,,,"310,400$",,,
"26025951",,"2012","$","$",,"Electric baseboard units",,"Highway, Elementary school, High school, Hospital, Park - green area, Public transport, University","Municipal sewer",,,,,,,"Residential","Municipality",,,,"241,600$",,,
"26031330",,"1980","3239$ (2014)","635$ (2014)",,"Air circulation, Electric baseboard units",,"Elementary school, High school, Bicycle path, Public transport","Municipal sewer",,,,,"Heated, Detached, Single width","Garage, (1 place), Outdoor, (4 places)","Residential","Municipality",,,,"360,300$",,,
"26034714",,,"1837$ (2014)","377$ (2014)",,,,"Highway, Lachine canal, Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,,"Municipality",,,,"217,100$",,,
"26041462",,"1910","5248$ (2014)","1127$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Hospital, Park - green area, Public transport, University","Municipal sewer",,,,,,"Outdoor, (2 places)","Residential","Municipality",,,,"671,100$",,,
"26049057",,"1922","19756$ (2014)","1011$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,,,"Commercial, Residential","Municipality",,,,"581,700$",,,
"26053690",,"2012","1437$ (2013)","302$ (2013)",,,,"Highway, Cegep, Elementary school, High school, Park - green area, Public transport","Municipal sewer",,,,,,,"Commercial, Residential","Municipality",,,,"174,400$",,,
"26070890",,"2010","2897$ (2014)","609$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, High school, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,"Heated, Fitted","Garage, (18 places)","Residential","Municipality",,,,"356,000$",,,
"26071070",,"1952","4506$ (2014)","970$ (2014)",,"Hot water, Electric baseboard units",,"Elementary school, Park - green area, Public transport, University","Municipal sewer",,,,,"Double width or more","Garage, (2 places), Outdoor, (1 place)","Residential","Municipality",,,,"557,800$",,,
"26073116",,"2010","1911$ (2014)","429$ (2014)",,,,"Highway, Elementary school, High school, Hospital, Park - green area, Bicycle path, Public transport","Municipal sewer",,,,,,,,"Municipality",,,,"237,800$",,,
"26084294",,"1962","3715$ (2013)","821$ (2013)",,"Electric baseboard units",,"Elementary school, Hospital, Park - green area, Public transport","Municipal sewer",,,,,"Fitted","Garage, (1 place), Outdoor, (1 place)","Residential","Municipality",,,,,,,
"26092782",,"1937","1239$ (2014)","267$ (2014)",,"Electric baseboard units",,"Highway, Elementary school, High school, Park - green area, Public transport","Municipal sewer",,,,,,,"Residential","Municipality",,,,"436,700$",,,
"26095865",,"1985","2349$ (2014)","516$ (2014)",,"Electric baseboard units",,"Highway, Bicycle path, Public transport","Municipal sewer",,,,,,"Outdoor, (1 place)","Residential","Municipality",,,,"310,300$",,,
"26142215",,,"$","$",,"Air circulation",,"Highway, Public transport","Municipal sewer",,,,,,,"Commercial","Municipality",,,,,,,
"26170811",,"2014","$","$",,"Electric baseboard units",,,"Municipal sewer",,,,,,"Garage, (1 place)","Residential","Municipality",,,,,,,
"26172856",,"2009","13662$ (2014)","2932$ (2014)",,"Electric baseboard units",,"Cegep, Elementary school, High school, Hospital, Park - green area, Bicycle path, Cross-country skiing, Public transport, University","Municipal sewer",,,,"Mountain, City","Heated, Fitted","Garage, (2 places)","Residential","Municipality",,,,"1,657,900$",,,
"26198642",,,"4140$ (2014)","877$ (2014)",,"Electric baseboard units",,,"Municipal sewer",,,,,,"In carport, (2 places), Vignette, (2 places)","Residential","Municipality",,,,"532,500$",,,
"26210924",,"2012","2253$ (2014)","457$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Elementary school, High school, Golf, Hospital, Park - green area, Bicycle path, Alpine skiing, Cross-country skiing, Public transport","Municipal sewer",,,,"City","Heated","Garage, (1 place)","Residential","Municipality",,,,"252,600$",,,
"26216203",,"1987","2078$ (2014)","457$ (2014)",,"Electric baseboard units",,"Highway, Cegep, Hospital, Bicycle path, Public transport, University","Municipal sewer",,,,"Panoramic, City",,,,"Municipality",,,,"259,600$",,,
