"MlsNumber","LivingArea","YearBuilt","MunicipalTax","SchoolTax","CondoFees","HeatingEnergy","HeatingSystem","Proximity","SewageSystem","LotAssessment","BuildingAssessment","Pool","View","Garage","Parking","Zoning","WaterSupply","LotDepth","LotFrontage","Area","MunicipalAssessment","FloorCovering","Topography","Insurance"
"11011359","1,753 Square Feet","1966","$1, (2014)","$1, (2014)","$1","Natural gas","Hot water","University, Public transport","Municipal sewer","$1","$1",,"Panoramic, City","Heated, Proximity","Garage",,,,,,,,,
"11027165","775 Square Feet",,,,"$4,128","Electricity","Electric baseboard units",,"Municipal sewer",,,,"Water","Sewage System","Garage",,,,,,,,,
"11069190",,,,,,,"Electric baseboard units",,"Municipal sewer",,,,,,,"Commercial",,,,,,,,
"11106138","1,020 Square Feet","1962","$2,219, (2013)","$442, (2013)",,"Heating oil, Electricity","Electric baseboard units, Air circulation",,"Municipal sewer","$135,500","$146,800",,,"Single width, Rental Appliances","Outdoor, Garage","Residential",,,,,,,,
"11163935","1,150 Square Feet","2004",,,,"Electricity","Electric baseboard units","Public transport","Municipal sewer",,,,,"New Construction:, No, Single width, Heated, Proximity","New Construction:, No, Outdoor","Residential",,,,,,,,
"11193259",,"2004","$4,684, (2013)","$1,047, (2013)","$5,724","Electricity, Bi-energy","Space heating baseboards, Air circulation","University","Municipal sewer",,,"Inground","Panoramic","Single width, Pool","Garage",,,,,,,,,
"11201883","339 Square Feet",,,,"$12","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,"Indoor, Heated","City",,,"Residential",,,,,,,,
"11228993",,"1954","$8,559, (2014)","$1,792, (2014)",,"Natural gas","Hot water","University, Public transport","Municipal sewer",,,,"Panoramic",,,"Residential",,,,,,,,
"11277859","52 Square metres","2013",,,"$2,280","Electricity","Electric baseboard units","University","Municipal sewer",,,,"Other - St Joseph Oratory",,,,,,,,,,,
"11311286","1,262 Square Feet","2014",,,"$110",,,,"Municipal sewer",,,,,,,"Residential",,,,,,,,
"11312291","68 Square metres","1969","$1,818, (2014)","$297, (2014)","$4,620","Natural gas",,,"Municipal sewer","$32,900","$134,300","Other - Salted Water",,"Pool","Garage","Residential",,,,,,,,
"11331830","1,550 Square Feet","2006","$4,633, (2014)","$930, (2014)","$6,336","Electricity","Electric baseboard units","Public transport","Municipal sewer","$85,100","$438,300","Inground, Indoor","Water, Panoramic","Single width, Pool","Garage","Residential",,,,,,,,
"11357089",,"1972","$3,468, (2014)","$580, (2014)",,"Natural gas","Air circulation","Hospital, Highway","Municipal sewer","$184,900","$161,300",,,"Single width, Fitted, Proximity","Outdoor, Garage","Residential",,,,,,,,
"11397957","163 Square metres","1949","$3,104, (2014)","$668, (2014)",,"Heating oil","Hot water","University","Municipal sewer","$153,200","$225,000",,,,,"Residential",,,,,,,,
"11405158","2,006 Square Feet","1924","$3,728, (2013)","$790, (2013)",,"Electricity","Electric baseboard units",,"Municipal sewer","$109,300","$381,500",,,,,"Residential",,,,,,,,
"11413274","775 Square Feet",,,,"$3,312","Electricity","Electric baseboard units",,"Municipal sewer",,,,"Water",,,,,,,,,,,
"11436238","653 Square Feet",,,,"$948",,,,"Municipal sewer",,,,,,,"Residential",,,,,,,,
"11511079","1,263 Square Feet","2004","$4,174, (2014)","$909, (2014)","$8,712","Electricity","Electric baseboard units","University, Public transport","Municipal sewer",,,,"City","Single width, Proximity","Garage","Residential",,,,,,,,
"11529886",,"1910","$8,617, (2014)","$1,855, (2014)",,"Heating oil, Electricity","Hot water","University, Public transport","Municipal sewer","$522,600","$577,300",,,,"Outdoor","Residential",,,,,,,,
"11532933","694 Square Feet",,,,"$1","Electricity","Electric baseboard units","Public transport","Municipal sewer",,,,,,,"Residential",,,,,,,,
"11549161","2,300 Square Feet",,,,,"Electricity","Electric baseboard units, Air circulation","Public transport, Park - green area","Municipal sewer",,,,,"New Construction:, Yes, Proximity","New Construction:, Yes, Outdoor, Garage","Residential",,,,,,,,
"11576427",,"1982","$1,914, (2014)","$396, (2014)","$1,360","Electricity","Electric baseboard units","Public transport, Park - green area","Municipal sewer","$35,400","$191,000",,,"Fitted, Proximity","Outdoor, Garage","Residential",,,,,,,,
"11590203",,"1919","$2,623, (2014)","$509, (2013)",,"Electricity","Electric baseboard units","Public transport","Municipal sewer","$104,000","$212,700",,,,"Outdoor","Residential",,,,,,,,
"11607848","849 Square Feet","2014",,,"$2,352","Electricity","Electric baseboard units","University","Municipal sewer",,,,,,,"Residential",,,,,,,,
"11626378",,"1962",,,,,,,"Municipal sewer",,,,,,,"Commercial",,,,,,,,
"11627334","2,130 Square Feet",,,,"$10,380","Bi-energy","Air circulation","University","Municipal sewer",,,"Other - Indoor Uv Flitered",,"Pool","Garage","Residential",,,,,,,,
"11642369","1,836 Square Feet","1989","$4,271, (2014)","$919, (2014)","$7,332","Electricity","Electric baseboard units, Air circulation","University, Public transport","Municipal sewer","$80,800","$450,800","Indoor","City","Fitted, Pool","Garage","Residential",,,,,,,,
"11667336","84 Square metres","2012",,,"$137","Electricity","Electric baseboard units","Public transport","Municipal sewer",,,,,,,"Residential",,,,,,,,
"11763814","2,675 Square Feet",,,,"$12,048","Electricity","Electric baseboard units",,"Municipal sewer",,,,,,,,,,,,,,,
"11768559","750 Square Feet",,,,"$3,936",,,"University, Public transport","Municipal sewer",,,"Inground, Indoor",,"Pool","Garage",,,,,,,,,
