MlsNumber,Lat,Lng,City,BuyPrice,ConstructionYear,GenreCode,CatgCode,WalkScore,NbPieces,NbChambres,NbSallesEaux,NbSallesBains,NbFoyerPoele,NbEquipements,NbGarages,NbStationnements,NbPiscines,NbBordEaux,NbAnimals,NbCultures,IsNewPrice,IsNew,RevenuBrutPotentiel
14773779,45.53260913,-73.71791217,Ahuntsic-Cartierville (Montr̩al),549000,1952,ME,UNI,77,13,5,0,2,0,0,0,1,0,0,0,0,0,0,0
14827484,45.54628562,-73.69323056,Ahuntsic-Cartierville (Montr̩al),1150000,,ME,UNI,57,17,8,0,3,0,0,0,2,0,0,0,0,0,0,0
14831841,45.556288,-73.654511,Ahuntsic-Cartierville (Montr̩al),587000,1946,ME,UNI,77,9,4,1,2,1,0,1,2,0,0,0,0,0,0,43380
14907427,45.55013434,-73.67639513,Ahuntsic-Cartierville (Montr̩al),699000,1954,ME,UNI,70,9,3,1,1,0,0,2,2,0,0,0,0,0,0,0
14996056,45.533332,-73.703925,Ahuntsic-Cartierville (Montr̩al),429000,1953,PP,UNI,74,12,4,0,2,0,0,3,2,0,0,0,0,0,0,20400
15016537,45.5447518,-73.69686546,Ahuntsic-Cartierville (Montr̩al),349000,2014,AP,COP,66,5,2,0,1,1,0,2,1,0,0,0,0,0,0,0
15053875,45.52224639,-73.72845658,Ahuntsic-Cartierville (Montr̩al),748000,1980,PP,UNI,35,12,5,0,3,1,0,1,2,0,0,0,0,0,0,0
15104848,45.52028307,-73.73758104,Ahuntsic-Cartierville (Montr̩al),649000,2009,ME,UNI,17,18,5,1,3,0,0,3,2,0,0,0,0,0,0,24120
15125312,45.52573203,-73.71196307,Ahuntsic-Cartierville (Montr̩al),149900,2011,AP,COP,77,4,1,0,1,0,0,0,1,0,0,0,0,0,0,36000
15187056,45.533936,-73.671792,Ahuntsic-Cartierville (Montr̩al),420000,1998,ME,UNI,63,6,3,1,2,0,0,3,1,0,0,0,0,0,0,67200
15230982,45.57793917,-73.65596913,Ahuntsic-Cartierville (Montr̩al),849000,1955,MPM,UNI,85,14,4,0,3,1,0,2,2,3,0,0,0,0,0,0
15242426,45.55523711,-73.67196401,Ahuntsic-Cartierville (Montr̩al),949000,1945,ME,UNI,85,9,4,1,2,1,0,1,2,0,0,0,0,0,0,0
15274958,45.53739477,-73.67860742,Ahuntsic-Cartierville (Montr̩al),203000,2005,AP,COP,63,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0
15370453,45.5332513,-73.70135307,Ahuntsic-Cartierville (Montr̩al),395000,1956,PP,UNI,88,8,4,0,2,0,0,3,2,0,0,0,0,0,0,0
15483444,45.51262752,-73.75131267,Ahuntsic-Cartierville (Montr̩al),3600000,1957,PP,UNI,22,12,5,1,3,1,0,1,3,1,1,0,0,0,0,0
15526643,45.55380955,-73.62890391,Ahuntsic-Cartierville (Montr̩al),309000,1985,AP,COP,63,5,2,0,1,0,0,1,1,0,0,0,0,0,0,0
15577556,45.573025,-73.659667,Ahuntsic-Cartierville (Montr̩al),399000,1946,C,PCI,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15613574,45.54192014,-73.65561007,Ahuntsic-Cartierville (Montr̩al),330000,1969,AP,COP,78,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15700288,45.537552,-73.681522,Ahuntsic-Cartierville (Montr̩al),599000,1984,ME,UNI,55,11,4,2,2,1,0,3,2,0,0,0,0,0,0,0
15768526,45.52709577,-73.72881889,Ahuntsic-Cartierville (Montr̩al),1395000,1984,ME,UNI,59,24,5,3,3,1,0,4,2,3,0,0,0,0,0,0
15900731,45.5376712,-73.67322,Ahuntsic-Cartierville (Montr̩al),214900,1974,AP,COP,72,8,3,1,1,0,0,0,0,0,0,0,0,0,0,30720
15925965,45.541535,-73.686847,Ahuntsic-Cartierville (Montr̩al),699900,1975,C,PCI,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15927269,45.55214204,-73.6309989,Ahuntsic-Cartierville (Montr̩al),255000,2008,AP,COP,77,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0
15942307,45.53354125,-73.67907914,Ahuntsic-Cartierville (Montr̩al),229900,2012,AP,COP,62,7,2,0,1,0,0,1,1,0,0,0,0,0,0,0
15951882,45.55480769,-73.62931644,Ahuntsic-Cartierville (Montr̩al),304900,1985,AP,COP,47,6,3,0,1,0,0,1,1,0,0,0,0,0,0,0
15995092,45.53596433,-73.69095683,Ahuntsic-Cartierville (Montr̩al),575000,1963,MPM,UNI,66,12,4,0,2,1,0,2,2,2,0,0,0,0,0,0
15997947,45.54457,-73.672559,Ahuntsic-Cartierville (Montr̩al),749000,1952,ME,UNI,80,8,3,1,1,2,0,0,1,0,0,0,0,0,0,0
16017650,45.574841,-73.653842,Ahuntsic-Cartierville (Montr̩al),525000,1953,ME,UNI,85,9,4,0,2,0,0,0,1,0,0,0,0,0,0,0
16020705,45.52544261,-73.71231864,Ahuntsic-Cartierville (Montr̩al),199000,2009,AP,COP,74,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0
16037701,45.551617,-73.665012,Ahuntsic-Cartierville (Montr̩al),379000,1953,AP,COP,92,6,3,0,1,0,0,0,1,0,0,0,0,0,0,0
16039055,45.53783256,-73.67285728,Ahuntsic-Cartierville (Montr̩al),220000,1974,AP,COP,61,6,3,1,1,0,0,2,1,0,0,0,0,0,0,0
16085901,45.5376712,-73.67330583,Ahuntsic-Cartierville (Montr̩al),138900,1969,AP,COP,67,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16111734,45.53806793,-73.70985031,Ahuntsic-Cartierville (Montr̩al),349000,1955,ME,UNI,57,7,4,1,2,0,0,0,1,0,0,0,0,0,0,37140
16121855,45.55016554,-73.67184877,Ahuntsic-Cartierville (Montr̩al),426593,2014,ME,UNI,86,5,2,1,2,0,0,0,1,0,0,0,0,0,0,0
16151851,45.529901,-73.719703,Ahuntsic-Cartierville (Montr̩al),165000,2008,AP,COP,80,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16286202,45.53307063,-73.67955208,Ahuntsic-Cartierville (Montr̩al),249000,2011,AP,COP,54,6,2,0,1,0,0,0,0,0,0,0,0,0,0,33720
16360239,45.51159314,-73.75124121,Ahuntsic-Cartierville (Montr̩al),895000,1981,ME,UNI,12,16,6,1,3,1,0,3,2,0,0,0,0,0,0,0
16386676,45.552205,-73.631412,Ahuntsic-Cartierville (Montr̩al),434500,2004,AP,COP,68,6,3,0,2,0,0,2,1,1,0,0,0,0,0,0
16420794,45.541535,-73.686847,Ahuntsic-Cartierville (Montr̩al),799000,1967,I,PCI,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
