id,address,lat,lng
236,"11287 av. des Laurentides Montreal",45.590978,-73.648131
237,"10660 Pelletier Montreal",45.590734,-73.631788
238,"5990 Villeneuve Montreal",45.618279,-73.626610
239,"4800 boulevard Gouin est Montreal",45.604620,-73.638887
240,"12061, avenue D�sy Montreal",45.501689,-73.567256
241,"10445, avenue De Belleville Montreal",45.582671,-73.642505
242,"10750, avenue Pelletier Montreal",45.591474,-73.632820
243,"10736, avenue de Cobourg Montreal",45.585552,-73.643874
244,"11-460, rue de Normandie Montreal",45.646194,-73.493299
245,"10615, boulevard Saint-Michel Montreal",45.582237,-73.647141
246,"11817, avenue Drapeau Montreal",45.602528,-73.639162
247,"281, Mc Dougall Montreal",45.517363,-73.603043
248,"634 Querbes Montreal",45.522005,-73.608098
249,"94, McCulloch Montreal",45.514099,-73.599563
250,"538 Chemin C�te Ste-Catherine Montreal",45.514235,-73.610511
251,"242, avenue Mcdougall Montreal",45.516700,-73.602043
252,"652, rue Wiseman Montreal",45.518794,-73.611415
253,"17138 Guillaume Street Montreal",45.536474,-73.505735
254,"19858 Boulevard Gouin Ouest Montreal",45.461897,-73.918077
255,"15730, rue Gaucher Montreal",45.463813,-73.863679
256,"4212, rue Hugo Montreal",45.473936,-73.863055
257,"12695 rue Bedford Montreal",45.500838,-73.832150
258,"5128 Alma / NOUVEAU PRIX. Montreal",45.501689,-73.567256
259,"4371 rue Graham Montreal",45.481796,-73.850398
260,"18121, rue  Hardouin Montreal",45.459073,-73.889756
261,"18131, rue Hardouin Montreal",45.458987,-73.889938
262,"12696, rue Bedford Montreal",45.500619,-73.832624
263,"5122, boulevard Lalande Montreal",45.509829,-73.802088
264,"17953, rue Foster Montreal",45.454276,-73.883460
265,"493, boulevard Saraguay Est Montreal",45.512400,-73.800232
266,"5041, rue Laurin Montreal",45.506833,-73.776278
267,"5050, rue Fraser Montreal",45.503855,-73.847089
268,"4769, rue Pr�vel Montreal",45.460147,-73.887395
