id,address,lat,lng
7756,"2263, rue de L'Equateur Montreal",45.514133,-73.715870
7757,"1155, rue Tass� Montreal",45.501689,-73.567256
7758,"1562, rue Beaudet Montreal",45.509491,-73.677987
7759,"2365 De L'Acajou Montreal",45.511890,-73.706637
7760,"115, rue Hislop Montreal",45.513543,-73.661740
7761,"3320, boulevard Toupin Montreal",45.518965,-73.728759
7762,"2295, boulevard Keller Montreal",45.521065,-73.719311
7763,"2716, rue de l'�cu Montreal",45.511592,-73.712536
7764,"2309, rue Robert-Peary Montreal",45.510091,-73.702978
7765,"2265, avenue O'Brien Montreal",45.525956,-73.696640
7766,"1635, rue de l'Everest Montreal",45.513041,-73.703809
7767,"2853, rue de l'�cu Montreal",45.510401,-73.714590
7768,"1760, Depatie Montreal",45.523178,-73.689473
7769,"2076, avenue de Saint-Exup�ry Montreal",45.517409,-73.702960
7770,"2293, rue des Harfangs Montreal",45.512440,-73.703905
7771,"1998, rue des Pyr�n�es Montreal",45.518150,-73.703837
7772,"2187, avenue de Saint-Exup�ry Montreal",45.516347,-73.704732
7773,"675, rue Gratton Montreal",45.504135,-73.684087
7774,"2677, rue des Harfangs Montreal",45.509763,-73.710218
7775,"170, rue Lecavalier Montreal",45.512554,-73.663951
7776,"1215, rue Cardinal Montreal",45.514436,-73.687563
7777,"2155, rue Maryse Basti� Montreal",45.501689,-73.567256
7778,"3145, rue McCarthy Montreal",45.517498,-73.727641
7779,"885, rue Leduc Montreal",45.509841,-73.684115
7780,"2709, rue des Outardes Montreal",45.512713,-73.714866
7781,"2104 av de St-Éxupéry Montreal",45.517129,-73.703307
7782,"2732, rue des �quinoxes Montreal",45.501689,-73.567256
7783,"2159, rue John McCurdy Montreal",45.516429,-73.703434
7784,"866, boulevard Jules Poitras Montreal",45.524989,-73.669704
7785,"2247, rue des Migrations Montreal",45.513310,-73.716348
7786,"1515, rue Guertin Montreal",45.521965,-73.685651
7787,"4569 Avenue Felix-Leclerc Montreal",45.508757,-73.732997
7788,"1849 Amelia-Earhart Montreal",45.509217,-73.712294
7789,"7588 Henri-Bourassa Boulevard Montreal",45.578343,-73.653420
7790,"4029 Chemin Bois Franc Montreal",45.502935,-73.731000
7791,"4095 Bois-Franc Street Montreal",45.502420,-73.731536
7792,"3725 Rue Ernest Hemingway Montreal",45.504057,-73.721901
7793,"5173, rue J. B. Martineau Montreal",45.593984,-73.619655
7794,"5184, rue Leo Ouellete Montreal",45.592417,-73.616786
7795,"5077, rue J. B. Martineau Montreal",45.593215,-73.620223
7796,"9 Rue DU Pacifique App. D Montreal",45.406921,-73.954258
7797,"74, rue Elmo-Deslauriers Montreal",45.408076,-73.953111
7798,"7 B Pacifique Montreal",45.549820,-73.701453
7799,"3055 Rushbrooke Montreal",45.473319,-73.563547
7800,"1178 Rue Crawford Montreal",45.438339,-73.584758
7801,"3705, rue Ethel Montreal",45.466855,-73.567753
7802,"1077, rue Willibrord Montreal",45.459755,-73.578666
7803,"2034, avenue de L'�glise Montreal",45.463798,-73.590933
